tag_id,name,category,count
11820,face,0,35700
410004,crescent,0,35697
1267600,granblue_fantasy,3,35682
458482,short_twintails,0,35649
432696,on_stomach,0,35369
589398,hood_down,0,35287
403577,pointing,0,35244
450107,thick_eyebrows,0,35231
5,fate/stay_night,3,35230
464573,plant,0,35160
375459,looking_up,0,35072
900563,own_hands_together,0,34957
4027,staff,0,34865
4232,tan,0,34718
419429,frilled_skirt,0,34636
14452,feathers,0,34325
2362,casual,0,34225
395015,monster_girl,0,34038
1337464,x_hair_ornament,0,33958
463115,pink_bow,0,33926
10707,sisters,0,33921
613197,brown_legwear,0,33844
584911,shaded_face,0,33806
4123,wind,0,33703
405345,cherry_blossoms,0,33677
11879,blouse,0,33660
358992,bike_shorts,0,33637
701697,white_bow,0,33626
609507,holding_food,0,33435
498000,blue_ribbon,0,33364
403060,gauntlets,0,33332
4543,striped_panties,0,33279
397117,curtains,0,33261
480701,jojo_no_kimyou_na_bouken,3,33081
611487,juliet_sleeves,0,32892
1301082,admiral_(kancolle),4,32775
1441351,idolmaster_(classic),3,32765
401601,loafers,0,32730
1388799,blue_sailor_collar,0,32718
374979,all_fours,0,32708
423613,animal_print,0,32668
82326,?,0,32663
1369969,ground_vehicle,0,32530
521420,slit_pupils,0,32520
447919,cover_page,0,32492
656169,hand_on_own_chest,0,32485
2849,goggles,0,32364
634316,pectorals,0,32354
1710,towel,0,32207
383830,no_pants,0,31842
465870,surprised,0,31604
580232,white_jacket,0,31584
580738,black_hairband,0,31548
466654,wristband,0,31375
628293,skirt_set,0,31308
471498,multiple_tails,0,31062
404507,sharp_teeth,0,31054
395533,sheath,0,31050
389705,between_breasts,0,31002
1297467,lifted_by_self,0,30849
1019196,otoko_no_ko,0,30828
464564,instrument,0,30705
9123,alice_margatroid,4,30674
592975,love_live!_school_idol_project,3,30667
3540,hakama,0,30557
515302,green_skirt,0,30551
464713,head_wings,0,30542
3046,kiss,0,30527
388200,kochiya_sanae,4,30437
1478495,artoria_pendragon_(fate),4,30402
379387,t-shirt,0,30400
376002,genderswap,0,30387
413908,spiked_hair,0,30378
401137,clenched_teeth,0,30355
464540,building,0,30337
1318624,kemono_friends,3,30322
12247,patchouli_knowledge,4,30304
6526,side-tie_panties,0,30282
524399,hat_bow,0,30238
12667,child,0,30103
464542,butterfly,0,30055
448202,peaked_cap,0,30019
448225,tokin_hat,0,29764
385882,third_eye,0,29734
5746,box,0,29726
471601,black_bra,0,29683
401836,messy_hair,0,29670
1227044,ribbon_trim,0,29620
397327,blue_shirt,0,29598
576310,white_flower,0,29598
575322,clenched_hand,0,29363
2755,lace,0,29270
589376,red_flower,0,29265
446647,pale_skin,0,29257
561547,shoulder_armor,0,29246
302,elf,0,29230
2252,candy,0,29114
415668,single_thighhigh,0,29104
531068,hakama_skirt,0,29035
566918,adapted_costume,0,28981
5648,nature,0,28935
76,gundam,3,28728
390662,foreshortening,0,28575
507741,frilled_sleeves,0,28539
464568,musical_note,0,28511
427968,revealing_clothes,0,28420
12244,konpaku_youmu,4,28407
9863,bikini_top,0,28393
448007,drooling,0,28335
469701,rabbit_tail,0,28241
456255,front-tie_top,0,28138
619736,blue_jacket,0,28123
594766,star_(sky),0,28080
376491,wet_clothes,0,28028
569748,black_background,0,28008
492682,red_necktie,0,27989
1720,cirno,4,27966
664258,no_headwear,0,27666
533054,waist_apron,0,27606
524897,interlocked_fingers,0,27560
12246,yakumo_yukari,4,27556
103483,fishnets,0,27547
4000,microphone,0,27489
465152,china_dress,0,27449
723773,hand_fan,0,27433
395223,scenery,0,27333
374782,sneakers,0,27314
556011,lace_trim,0,27293
378850,armband,0,27289
1451588,muscular_male,0,27160
683385,red_footwear,0,27158
376528,:<,0,26976
383851,twin_drills,0,26956
12464,brooch,0,26884
166531,pink_dress,0,26876
566461,anger_vein,0,26740
1288118,hair_flaps,0,26733
561,mecha,0,26710
389108,glowing_eyes,0,26692
166133,night_sky,0,26683
466984,...,0,26675
489235,motion_lines,0,26524
538298,strapless_dress,0,26485
404,christmas,0,26350
1593554,light_purple_hair,0,26300
3508,angry,0,26223
470790,demon_horns,0,26195
10847,breath,0,26175
4275,steam,0,26085
389553,skin_tight,0,25995
469125,jingle_bell,0,25975
390594,red_shirt,0,25974
417741,bridal_gauntlets,0,25922
526340,letterboxed,0,25902
